Designator,Mid X,Mid Y,Layer,Rotation
C1,216.60,-113.00,T,90.00
C3,218.60,-109.10,T,90.00
C4,225.95,-91.40,T,180.00
C5,226.00,-83.50,T,90.00
D1,156.08,-107.79,T,270.00
D2,175.08,-107.79,T,270.00
D3,194.08,-107.79,T,270.00
D4,213.08,-107.79,T,270.00
D5,156.00,-93.25,T,90.00
D6,175.00,-93.25,T,90.00
D7,194.00,-93.25,T,90.00
D8,213.00,-93.25,T,90.00
D9,216.90,-84.90,T,180.00
D10,229.30,-98.70,T,270.00
J1,126.50,-119.00,T,90.00
J2,152.25,-133.27,T,60.00
J3,171.25,-133.27,T,60.00
J4,190.25,-133.27,T,60.00
J5,209.25,-133.27,T,60.00
J6,126.50,-81.00,T,90.00
J7,152.25,-67.73,T,120.00
J8,171.25,-67.73,T,120.00
J9,190.25,-67.73,T,120.00
J10,209.25,-67.73,T,120.00
J11,232.43,-122.21,T,90.00
J12,223.40,-114.90,T,90.00
K1,147.50,-112.50,T,270.00
K2,166.50,-112.50,T,270.00
K3,185.50,-112.50,T,270.00
K4,204.50,-112.50,T,270.00
K5,147.50,-88.58,T,90.00
K6,166.58,-88.58,T,90.00
K7,185.50,-88.58,T,90.00
K8,204.50,-88.58,T,90.00
R1,158.58,-108.04,T,90.00
R2,177.58,-108.13,T,90.00
R3,196.58,-108.04,T,90.00
R4,213.50,-111.94,T,270.00
R5,158.50,-92.75,T,270.00
R6,177.50,-92.75,T,270.00
R7,196.50,-92.75,T,270.00
R8,213.60,-88.60,T,90.00
R9,224.70,-123.20,T,0.00
R10,226.00,-118.60,T,270.00
R11,216.60,-109.10,T,90.00
R12,222.50,-91.40,T,0.00
R13,229.90,-102.50,T,180.00
R14,228.30,-74.90,T,180.00
R15,227.80,-137.30,T,180.00
SW1,227.50,-66.50,B,90.00
SW2,227.50,-133.50,B,90.00
U1,225.70,-109.50,T,180.00
U2,220.60,-99.50,T,180.00
U3,218.90,-90.80,T,90.00
U4,219.30,-112.90,T,90.00
